StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,DIABETES_CrudePrev,OBESITY_CrudePrev,ACCESS2_CrudePrev,CSMOKING_CrudePrev,FOODINSECU_CrudePrev,Geolocation
OK,Oklahoma,Haskell,40061,11832,15.4,42.2,11.6,20.7,21.3,POINT (-95.116494065308 35.224815744206)
IL,Illinois,Lake,17097,708760,11.2,32.9,9.2,10.4,12.4,POINT (-88.003802278105 42.3231861408737)
KS,Kansas,Atchison,20005,16016,11.2,37.0,8.8,15.3,12.9,POINT (-95.3139519927859 39.5314729069169)
AK,Alaska,Anchorage,2020,286075,8.9,35.0,9.5,14.0,12.8,POINT (-149.112545841578 61.150482370682)
OK,Oklahoma,Seminole,40133,23565,16.1,45.0,12.3,22.5,25.4,POINT (-96.6156537381723 35.1680593598838)
WV,West Virginia,Mineral,54057,26867,15.2,39.3,7.4,17.5,12.9,POINT (-78.9438660349927 39.4145638145152)
MN,Minnesota,Blue Earth,27013,70006,9.4,33.8,7.9,13.5,12.9,POINT (-94.0669295707349 44.0345454957417)
NE,Nebraska,Buffalo,31019,50697,9.6,37.3,9.2,12.2,11.7,POINT (-99.0753138152132 40.8549140546781)
VA,Virginia,Albemarle,51003,115676,10.2,28.2,6.4,9.0,8.2,POINT (-78.5566750076527 38.02329488935)
TX,Texas,Hemphill,48211,3189,11.6,32.7,16.4,11.7,,POINT (-100.270357671339 35.8376485835775)
MO,Missouri,Shelby,29205,5931,14.9,40.3,10.0,20.5,16.4,POINT (-92.0765035724993 39.7978199013128)
MO,Missouri,Carroll,29033,8391,13.9,38.6,9.3,18.3,13.9,POINT (-93.5052433823843 39.4269766767271)
TN,Tennessee,Dyer,47045,36498,14.9,39.4,12.5,20.1,,POINT (-89.413255123987 36.0594847370705)
SD,South Dakota,Minnehaha,46099,206930,10.6,37.4,8.8,14.2,,POINT (-96.791470048829 43.6741571506483)
IA,Iowa,Chickasaw,19037,11658,12.6,39.4,7.7,15.5,11.2,POINT (-92.3176408168561 43.0600924885266)
NY,New York,Seneca,36099,32349,11.6,34.7,7.2,15.3,15.1,POINT (-76.8234304711163 42.7807211049499)
MN,Minnesota,Faribault,27043,13873,12.8,37.6,9.3,16.4,13.5,POINT (-93.9479319612746 43.6739185141946)
NE,Nebraska,Nance,31125,3274,12.7,41.0,8.7,16.5,13.1,POINT (-97.9923626121675 41.3973669035393)
OH,Ohio,Mahoning,39099,225596,14.8,38.6,9.1,16.9,15.9,POINT (-80.7763089335898 41.014638072438)
MS,Mississippi,Chickasaw,28017,16866,18.4,43.3,14.0,19.9,27.8,POINT (-88.9478680906015 33.9208230759646)
IL,Illinois,Hamilton,17065,7911,13.9,40.0,8.3,17.0,15.4,POINT (-88.5390680927951 38.0815781203156)
TX,Texas,Goliad,48175,7144,15.6,37.0,18.1,14.2,,POINT (-97.4261528642449 28.6572997486097)
MS,Mississippi,Sunflower,28133,24468,19.3,48.6,16.2,21.4,36.8,POINT (-90.5886871287806 33.6022446844639)
FL,Florida,Monroe,12087,80614,13.2,25.8,13.5,12.0,,POINT (-81.1205705411756 25.2728942193616)
TX,Texas,Taylor,48441,146836,11.2,34.3,15.7,12.9,,POINT (-99.8901007880615 32.3015982054604)
MN,Minnesota,Norman,27107,6329,12.5,35.6,8.3,15.9,12.5,POINT (-96.4554730867118 47.3264531891278)
TN,Tennessee,Hancock,47067,6956,20.3,43.0,16.1,29.4,,POINT (-83.2225554028535 36.5234522153705)
AR,Arkansas,Grant,5053,18383,12.0,36.9,9.3,15.6,13.7,POINT (-92.4234453390766 34.290047947646)
VA,Virginia,Pittsylvania,51143,59571,17.5,41.6,10.2,18.1,18.0,POINT (-79.3971353812908 36.8213514715856)
NM,New Mexico,Santa Fe,35049,155956,12.6,25.6,13.1,10.0,14.0,POINT (-105.976252740807 35.506900601719)
ME,Maine,Sagadahoc,23023,37513,10.8,29.6,7.4,13.9,9.4,POINT (-69.8536441032231 43.9590164573634)
LA,Louisiana,Tensas,22107,3764,25.1,48.4,11.3,22.8,34.6,POINT (-91.3398743027027 32.0009034949544)
WI,Wisconsin,Buffalo,55011,13419,12.8,39.6,7.8,15.0,11.2,POINT (-91.7543796736571 44.3797906115145)
IN,Indiana,Perry,18123,19209,13.4,37.6,8.5,18.3,13.5,POINT (-86.6381199530206 38.079509981274)
SC,South Carolina,Greenwood,45047,69460,15.4,36.8,12.6,15.0,21.3,POINT (-82.1260689800586 34.1538899560059)
AZ,Arizona,Graham,4009,39525,11.4,36.0,16.0,15.2,20.9,POINT (-109.887402691851 32.9327553402921)
SC,South Carolina,Edgefield,45037,27607,16.2,39.9,14.9,16.3,21.9,POINT (-81.9660838206547 33.772095052778)
WV,West Virginia,Hardy,54031,14251,19.0,41.9,9.7,21.6,18.1,POINT (-78.8580214852076 39.0074510404398)
OH,Ohio,Pickaway,39129,61086,12.6,39.8,8.5,17.9,13.7,POINT (-83.0242544082613 39.6418488739589)
OH,Ohio,Wood,39173,132650,10.7,37.4,7.0,12.7,11.2,POINT (-83.622978870736 41.361689646332)
MS,Mississippi,Noxubee,28103,9914,21.2,46.4,15.2,21.3,35.8,POINT (-88.5698353745843 33.1100147781248)
ND,North Dakota,Rolette,38079,11728,17.9,50.2,10.8,25.9,30.5,POINT (-99.8409780101314 48.7724504206484)
MT,Montana,Park,30067,17903,10.5,30.4,8.2,13.5,10.1,POINT (-110.52629655656 45.4881773935607)
UT,Utah,Beaver,49001,7233,9.8,28.5,10.6,9.3,11.7,POINT (-113.235121957133 38.3569295956319)
OH,Ohio,Geauga,39055,95407,12.4,32.6,6.4,12.8,9.0,POINT (-81.1785666230898 41.4995505355057)
NH,New Hampshire,Carroll,33003,52448,10.7,30.7,6.2,10.7,8.4,POINT (-71.2030777502208 43.8738665247946)
ND,North Dakota,Billings,38007,1034,12.1,36.4,7.2,13.5,10.0,POINT (-103.376280247204 47.0236619758294)
GA,Georgia,Long,13183,19594,12.4,38.4,16.5,17.2,21.7,POINT (-81.745381491443 31.7522994598883)
MO,Missouri,Oregon,29149,8720,16.5,41.1,10.9,22.8,19.0,POINT (-91.4032773357883 36.6867003170786)
FL,Florida,Hernando,12053,212807,14.9,36.1,14.7,14.3,,POINT (-82.4254406235528 28.5539797457162)
NE,Nebraska,Richardson,31147,7689,14.0,45.3,8.7,15.7,12.0,POINT (-95.7176760902879 40.1249750439117)
VA,Virginia,Madison,51113,14128,13.7,37.8,8.4,14.1,11.7,POINT (-78.2794822681113 38.4141991935101)
MI,Michigan,Antrim,26009,24409,12.8,36.4,5.5,13.4,10.5,POINT (-85.1404720041255 44.9989840363288)
IA,Iowa,Lee,19111,32565,12.9,37.6,7.4,17.5,12.9,POINT (-91.4794958363333 40.6422524192372)
KS,Kansas,Decatur,20039,2712,13.4,36.6,8.1,14.1,10.1,POINT (-100.4593927499 39.7846903901936)
VA,Virginia,Colonial Heights,51570,18393,12.3,37.4,8.7,12.8,12.8,POINT (-77.395372113351 37.265090640959)
FL,Florida,Columbia,12023,73063,15.1,39.7,15.5,18.2,,POINT (-82.6216338263004 30.2248618580445)
IL,Illinois,Grundy,17063,53578,10.3,36.4,8.3,13.3,12.4,POINT (-88.418506343176 41.2852896366779)
CO,Colorado,Baca,8009,3344,13.4,29.9,12.8,16.9,,POINT (-102.560198091618 37.3193048719218)
NC,North Carolina,Bertie,37015,16922,19.3,43.0,13.2,18.3,26.7,POINT (-76.9765261847155 36.066157443707)
KS,Kansas,Barber,20007,4071,13.8,38.6,8.6,16.4,12.4,POINT (-98.6848141558495 37.2289283040021)
NY,New York,Columbia,36021,60470,11.8,30.8,5.7,12.4,11.7,POINT (-73.6319367338711 42.2500183961169)
MI,Michigan,Wexford,26165,34122,13.0,39.0,7.4,17.4,15.5,POINT (-85.5785690119737 44.3383613375827)
UT,Utah,Grand,49019,9706,11.2,28.3,10.1,10.2,13.0,POINT (-109.570004970837 38.9834032042322)
TX,Texas,El Paso,48141,869880,15.4,34.0,29.0,12.1,,POINT (-106.234769971665 31.7686659871114)
GA,Georgia,Talbot,13263,5718,22.1,43.1,15.1,18.7,26.6,POINT (-84.5331196585988 32.6992774965399)
NY,New York,Hamilton,36041,5082,13.4,31.0,5.4,13.4,11.5,POINT (-74.4973655679885 43.6612213303403)
TN,Tennessee,Polk,47139,18033,15.1,43.7,11.6,20.7,,POINT (-84.5231146561792 35.1199362720267)
SD,South Dakota,Walworth,46129,5269,13.4,34.3,8.3,15.7,,POINT (-100.031148111061 45.4299153339623)
TN,Tennessee,Lewis,47101,13066,14.9,39.2,12.6,20.8,,POINT (-87.4934669216043 35.5273554402834)
KS,Kansas,Pawnee,20145,6126,12.7,38.2,10.5,16.5,12.6,POINT (-99.2368292701345 38.1811561054533)
TX,Texas,Brazoria,48039,398938,12.0,36.3,16.2,11.6,,POINT (-95.4512838215283 29.1895857693754)
NC,North Carolina,Vance,37181,42301,16.8,42.6,13.2,17.3,24.8,POINT (-78.4079704512629 36.3651057008362)
GA,Georgia,Jeff Davis,13161,14906,16.4,40.4,18.6,20.6,25.3,POINT (-82.6366953093619 31.8060289030775)
TX,Texas,Castro,48069,7227,15.5,38.2,27.7,13.3,,POINT (-102.261693793651 34.5300508535073)
CA,California,Solano,6095,449218,12.1,31.3,9.1,11.3,16.5,POINT (-121.932781028652 38.2699375647315)
KS,Kansas,Leavenworth,20103,83518,10.8,39.8,8.5,13.6,10.5,POINT (-95.0382345190297 39.1999862996613)
AL,Alabama,Autauga,1001,60342,13.3,39.8,8.8,14.5,16.5,POINT (-86.6428164158396 32.5350016195151)
ME,Maine,Androscoggin,23001,113765,12.1,35.8,9.1,16.3,13.9,POINT (-70.2067586997966 44.1654739027752)
SC,South Carolina,Clarendon,45027,31004,19.6,38.0,14.3,16.9,26.0,POINT (-80.2164297187346 33.6659775926252)
IN,Indiana,Tippecanoe,18157,188792,10.0,27.9,8.6,13.0,14.5,POINT (-86.8940552546538 40.3886239103306)
ID,Idaho,Bannock,16005,90400,9.7,33.0,10.1,12.9,14.4,POINT (-112.224464654126 42.6685980174801)
IL,Illinois,Moultrie,17139,14342,11.6,38.4,8.4,16.0,14.0,POINT (-88.6189863239145 39.6419524353702)
NM,New Mexico,Rio Arriba,35039,39876,17.2,39.9,19.3,14.2,25.7,POINT (-106.692981140881 36.5094888401674)
MI,Michigan,Oakland,26125,1270426,10.2,31.3,5.2,10.8,10.9,POINT (-83.3857850852382 42.6603841794277)
NC,North Carolina,New Hanover,37129,238852,10.6,31.1,8.4,11.6,11.2,POINT (-77.8842723951621 34.2328162979962)
NC,North Carolina,Martin,37117,21447,17.8,40.4,11.8,17.3,22.0,POINT (-77.1093472458262 35.8432221253514)
AK,Alaska,Northwest Arctic,2188,7361,14.1,40.6,14.2,28.3,32.5,POINT (-159.722233405755 67.0527933404638)
MO,Missouri,Mercer,29129,3469,15.6,41.1,10.5,20.0,16.2,POINT (-93.5684789350163 40.4224304026288)
MO,Missouri,Montgomery,29139,11459,13.9,37.3,9.5,19.5,14.9,POINT (-91.4702914684888 38.9413373254871)
NE,Nebraska,Franklin,31061,2825,14.2,39.2,8.9,15.9,12.6,POINT (-98.952831971485 40.1763829630923)
GA,Georgia,Lumpkin,13187,35258,11.5,28.9,11.4,13.5,13.2,POINT (-84.0028613994945 34.5724830927062)
FL,Florida,Jackson,12063,48622,15.6,38.7,16.5,19.0,,POINT (-85.2152870715759 30.7953060542353)
SC,South Carolina,York,45091,298320,11.8,37.3,9.7,11.3,14.0,POINT (-81.1845207722132 34.9748106049519)
NY,New York,Livingston,36051,61158,10.1,30.8,5.7,12.3,12.1,POINT (-77.7746715447795 42.7287229293671)
MD,Maryland,Carroll,24013,176639,10.3,37.7,6.3,10.9,9.0,POINT (-77.0227635353375 39.5629025323817)
OH,Ohio,Hardin,39065,30368,12.9,40.3,8.7,17.7,15.3,POINT (-83.6594148955231 40.6616220714596)
NV,Nevada,Clark,32003,2336573,12.4,31.4,15.4,14.8,19.1,POINT (-115.01439860617 36.2150650480518)
GA,Georgia,Camden,13039,58118,12.3,37.2,12.9,14.8,16.1,POINT (-81.6704234596136 30.9304833205109)
KS,Kansas,Seward,20175,21067,13.4,42.7,24.8,15.0,24.5,POINT (-100.850630864337 37.1933271863834)
AR,Arkansas,Prairie,5117,8036,15.1,40.3,10.6,17.3,17.4,POINT (-91.5527724228457 34.8296805541547)
MD,Maryland,Queen Anne's,24035,52508,11.6,29.4,6.7,11.7,10.1,POINT (-76.0240862590696 39.0662241668469)
GA,Georgia,Terrell,13273,8718,21.2,43.6,17.6,21.1,31.6,POINT (-84.4366722312933 31.7770572781924)
LA,Louisiana,St. Bernard,22087,44463,15.3,42.8,11.1,20.2,27.0,POINT (-89.5378053124974 29.8750828954315)
TN,Tennessee,Sumner,47165,207994,12.2,40.6,10.3,15.3,,POINT (-86.4607991890573 36.4689167276957)
ID,Idaho,Lemhi,16059,8441,12.7,30.4,9.3,13.4,11.6,POINT (-113.933478496525 44.9434584985958)
WA,Washington,Mason,53045,68389,12.2,35.9,9.2,13.0,,POINT (-123.192028806629 47.3481789974584)
IN,Indiana,Porter,18127,175335,12.5,39.9,8.3,14.5,12.3,POINT (-87.0674513182353 41.4608374022855)
VT,Vermont,Bennington,50003,37183,10.0,30.5,6.1,11.9,,POINT (-73.0928953319589 43.0355940515537)
WI,Wisconsin,Iowa,55049,23956,11.3,38.7,6.7,13.8,9.8,POINT (-90.1352742170414 43.000529388604)
NC,North Carolina,Edgecombe,37065,48832,17.9,43.7,13.0,17.7,26.2,POINT (-77.5971756410996 35.913040080039)
OR,Oregon,Baker,41001,16912,13.6,37.7,7.7,13.8,,POINT (-117.675629967357 44.7090935179354)
OH,Ohio,Scioto,39145,71969,15.3,44.7,9.5,20.8,18.3,POINT (-82.9932730384393 38.80401792582)
VA,Virginia,Norton,51720,3492,14.9,40.8,10.5,19.8,18.8,POINT (-82.6294619312556 36.9308310308693)
MO,Missouri,Webster,29225,41472,12.2,41.7,9.7,19.4,14.7,POINT (-92.8757618781185 37.2809123581798)
MS,Mississippi,Attala,28007,17359,16.9,42.6,12.2,18.2,24.4,POINT (-89.5811695102407 33.0864929422051)
AR,Arkansas,Benton,5007,311013,10.3,35.3,10.9,11.7,13.1,POINT (-94.2558310001198 36.3389781548829)
OH,Ohio,Muskingum,39119,86305,14.4,43.9,8.2,18.1,14.3,POINT (-81.9443705638671 39.9654979109366)
IL,Illinois,Shelby,17173,20568,13.0,37.6,7.4,15.2,12.7,POINT (-88.8051969036463 39.3913669667087)
IN,Indiana,Hendricks,18063,186387,11.1,36.4,6.9,12.8,10.3,POINT (-86.5099930674506 39.7695155217637)
MI,Michigan,Monroe,26115,155045,12.3,40.6,6.7,15.2,12.7,POINT (-83.5380446708107 41.9282711920747)
NY,New York,Sullivan,36105,79920,12.1,31.9,8.5,13.7,16.6,POINT (-74.768159722024 41.7164759306136)
CA,California,Placer,6061,423561,9.8,27.3,5.6,9.4,10.0,POINT (-120.717993200586 39.0633030825061)
CO,Colorado,Kiowa,8061,1384,11.8,27.1,10.1,13.8,,POINT (-102.739222013974 38.4325941497591)
OR,Oregon,Linn,41043,131496,12.0,40.1,8.9,14.2,,POINT (-122.534067367837 44.488641905537)
TX,Texas,Hansford,48195,5071,13.6,36.8,23.4,13.6,,POINT (-101.354568947694 36.2774356712956)
MO,Missouri,Gentry,29075,6287,13.2,41.2,9.6,19.3,14.7,POINT (-94.4095546973503 40.2120580967131)
TX,Texas,Jackson,48239,15221,14.7,37.7,19.7,15.0,,POINT (-96.5776341634458 28.9540204387149)
TN,Tennessee,Obion,47131,30411,16.2,40.2,13.5,21.1,,POINT (-89.1484178194834 36.3583587008047)
SD,South Dakota,Day,46037,5451,14.7,34.8,8.8,16.6,,POINT (-97.6073587322038 45.3672131291144)
SD,South Dakota,Hughes,46065,17624,10.8,34.0,7.3,13.7,,POINT (-99.9956226808318 44.3890109551014)
VA,Virginia,Sussex,51183,10757,16.2,45.5,11.7,17.1,21.8,POINT (-77.2619862677843 36.9217516130991)
OH,Ohio,Cuyahoga,39035,1233088,13.4,35.3,8.4,14.8,16.7,POINT (-81.658627773816 41.4243019834267)
MS,Mississippi,Lee,28081,82799,13.9,36.4,10.2,15.4,18.1,POINT (-88.6803890983401 34.2898902056682)
TX,Texas,Zapata,48505,13736,20.8,43.7,42.8,17.1,,POINT (-99.1685958221944 27.0007793520196)
NM,New Mexico,Harding,35021,624,19.6,35.3,16.4,14.3,20.0,POINT (-103.81995879697 35.857671856338)
TX,Texas,King,48269,217,16.8,37.8,16.1,17.5,,POINT (-100.255805654489 33.6164384711197)
MT,Montana,Golden Valley,30037,835,14.7,32.5,11.0,16.1,13.9,POINT (-109.175211549866 46.3812633183309)
KS,Kansas,Wyandotte,20209,165281,14.5,40.7,17.3,17.6,22.7,POINT (-94.7650051303517 39.1147931194662)
TX,Texas,Angelina,48005,87319,14.9,40.8,18.8,17.1,,POINT (-94.6116992392933 31.2547198881231)
WV,West Virginia,Tyler,54095,7919,17.6,42.8,8.1,20.2,15.4,POINT (-80.8850799013999 39.465890011048)
VA,Virginia,Winchester,51840,27617,14.2,37.6,12.7,15.5,18.1,POINT (-78.1745748910803 39.1731769509689)
TX,Texas,Duval,48131,9604,18.8,41.2,35.4,14.8,,POINT (-98.5089333372538 27.6813479552338)
TX,Texas,Limestone,48293,22250,16.1,39.7,18.1,16.6,,POINT (-96.5807056451504 31.5455242712717)
MN,Minnesota,Wright,27171,151150,9.2,35.4,6.8,12.8,9.4,POINT (-93.9630860406499 45.1740837983303)
MS,Mississippi,George,28039,25619,13.1,37.2,11.3,18.2,17.8,POINT (-88.6441634400411 30.862637172487)
CO,Colorado,Yuma,8125,9862,10.9,28.4,15.7,13.9,,POINT (-102.424564854412 40.0028209513012)
VA,Virginia,Salem,51775,25600,12.0,35.2,7.7,13.0,11.6,POINT (-80.0545181069925 37.2858120133125)
MO,Missouri,Pulaski,29169,53812,8.6,35.8,10.6,15.0,15.3,POINT (-92.2076725320903 37.8246506981251)
NC,North Carolina,Hyde,37095,4607,17.0,41.0,13.7,19.0,21.8,POINT (-76.246508754071 35.5192667562167)
WI,Wisconsin,Price,55099,14102,14.8,42.5,7.8,16.7,12.5,POINT (-90.3614824634713 45.680136950248)
IN,Indiana,Kosciusko,18085,80364,13.0,38.7,9.2,16.6,13.5,POINT (-85.8607456885205 41.2441073982605)
MO,Missouri,McDonald,29119,23903,15.8,43.0,13.9,23.3,22.7,POINT (-94.3482788212234 36.6287006346982)
TX,Texas,Lynn,48305,5761,15.2,38.6,21.9,15.9,,POINT (-101.816284702965 33.1766927653914)
ND,North Dakota,LaMoure,38045,4096,12.5,34.4,7.3,13.8,9.8,POINT (-98.5353641660594 46.4568593866168)
AL,Alabama,Bullock,1011,9897,24.6,51.3,17.7,24.7,42.9,POINT (-85.7157596722874 32.1005731304216)
NE,Nebraska,Red Willow,31145,10457,12.1,42.1,9.0,14.3,12.4,POINT (-100.477329716049 40.1756372724134)
WI,Wisconsin,Taylor,55119,20058,12.8,44.3,8.3,16.3,12.1,POINT (-90.5014610688285 45.2114507805017)
IA,Iowa,Shelby,19165,11806,12.5,37.8,7.0,15.2,10.8,POINT (-95.310088943124 41.6851018395571)
WV,West Virginia,Kanawha,54039,174805,15.6,40.3,7.8,18.9,16.8,POINT (-81.5284979920394 38.3361284608688)
MD,Maryland,Garrett,24023,28423,14.1,36.3,7.9,14.2,12.3,POINT (-79.2728437491571 39.528754928503)
GA,Georgia,Gilmer,13123,32860,15.2,34.2,13.6,15.0,13.5,POINT (-84.4556815629544 34.6911623019377)
AR,Arkansas,Chicot,5017,9538,20.5,47.1,14.3,19.7,30.3,POINT (-91.2933505574654 33.2667470395332)
OH,Ohio,Miami,39109,110876,12.7,33.6,7.2,15.3,11.3,POINT (-84.2289753159029 40.0535853378213)
CO,Colorado,Arapahoe,8005,656061,8.5,26.1,11.5,10.5,,POINT (-104.339237064517 39.6496572797677)
MO,Missouri,Texas,29215,25619,15.8,42.1,11.2,21.7,18.5,POINT (-91.9643974422108 37.3171070530556)
OH,Ohio,Richland,39139,125064,14.5,39.0,9.2,18.0,15.5,POINT (-82.5363256693401 40.7748694236578)
VA,Virginia,Caroline,51033,32640,14.0,41.9,10.1,15.2,15.9,POINT (-77.347634407104 38.0269626787619)
LA,Louisiana,Lafayette,22055,249750,13.0,34.5,7.9,16.0,19.0,POINT (-92.0633182918568 30.2067507149975)
FL,Florida,Sarasota,12115,469013,13.0,29.2,10.3,10.5,,POINT (-82.3315474199739 27.1844486961668)
MI,Michigan,Isabella,26073,64118,10.5,39.5,7.5,15.8,17.7,POINT (-84.8467700848102 43.6406348997262)
IA,Iowa,Union,19175,11906,12.1,37.2,7.3,15.8,12.2,POINT (-94.2424322979002 41.0277362645631)
GA,Georgia,Elbert,13105,20013,16.6,38.2,14.5,17.8,21.0,POINT (-82.8404140983714 34.116392219138)
IL,Illinois,Macoupin,17117,44018,12.8,37.0,7.8,15.9,13.7,POINT (-89.92462979625 39.260888686793)
GA,Georgia,Schley,13249,4526,15.1,37.4,12.8,16.0,17.1,POINT (-84.3148282661391 32.262610616466)
SD,South Dakota,Davison,46035,19922,12.2,38.0,9.3,15.6,,POINT (-98.1456260068691 43.6746570375335)
NC,North Carolina,Rowan,37159,151661,12.7,37.4,11.7,15.9,16.6,POINT (-80.5247968376348 35.639349134151)
NJ,New Jersey,Somerset,34035,348842,10.1,26.3,8.5,8.2,10.3,POINT (-74.6164265267315 40.5636498200618)
VA,Virginia,Frederick,51069,95994,11.8,37.5,9.4,13.0,11.4,POINT (-78.2627027120779 39.2046032420843)
MO,Missouri,Jasper,29097,125056,12.8,40.0,10.9,18.5,16.0,POINT (-94.3405683255221 37.2035579992046)
IL,Illinois,Cumberland,17035,10261,11.9,38.7,7.1,14.5,11.8,POINT (-88.2403551281773 39.2735029218096)
NE,Nebraska,Gosper,31073,1847,12.4,38.4,8.0,13.2,10.2,POINT (-99.8302615243112 40.514766829776)
CO,Colorado,Gilpin,8047,5926,9.6,25.5,7.3,11.4,,POINT (-105.522991573347 39.8573476817029)
IL,Illinois,Rock Island,17161,141236,13.1,39.6,10.0,14.5,16.4,POINT (-90.5677963774347 41.4669850970518)
MI,Michigan,Saginaw,26145,187782,14.1,36.6,8.2,16.2,19.6,POINT (-84.0531789988136 43.3349994526708)
CA,California,Kings,6031,152682,12.1,34.7,17.6,14.8,26.9,POINT (-119.815394099578 36.0752380305363)
IL,Illinois,Adams,17001,64441,12.0,37.8,7.3,14.4,12.9,POINT (-91.1885205349826 39.9878121590876)
MS,Mississippi,Kemper,28069,8584,18.4,43.7,12.7,17.5,27.5,POINT (-88.6411934827704 32.7545542472899)
IA,Iowa,O'Brien,19141,14012,12.4,38.8,8.4,16.4,13.1,POINT (-95.6249570490171 43.0836626065609)
LA,Louisiana,Washington,22117,44865,17.8,45.5,10.1,21.7,26.8,POINT (-90.0401622145023 30.8534789295356)
MO,Missouri,Andrew,29003,18127,11.6,36.0,7.7,15.4,10.6,POINT (-94.8013576832864 39.9834332939443)
MO,Missouri,Caldwell,29025,8955,13.0,38.9,9.2,18.5,13.8,POINT (-93.9828207799922 39.6557701506874)
AL,Alabama,Chilton,1021,46431,14.1,40.0,11.6,16.9,18.7,POINT (-86.7185602930782 32.8479267319968)
OK,Oklahoma,Pottawatomie,40125,73791,13.0,41.2,10.3,18.1,18.7,POINT (-96.9484617397084 35.2066298442372)
NE,Nebraska,Kearney,31099,6770,10.8,38.3,7.8,12.4,9.2,POINT (-98.947942751182 40.5067089531434)
WV,West Virginia,Marion,54049,55807,14.7,42.1,7.7,17.7,14.5,POINT (-80.2424987842091 39.5096729205619)
NJ,New Jersey,Monmouth,34025,642799,9.8,30.4,7.7,9.7,9.2,POINT (-74.2208638905563 40.2604596957946)
MS,Mississippi,Harrison,28047,210612,14.1,36.5,11.1,16.3,19.6,POINT (-89.1114155491736 30.5042780063233)
NE,Nebraska,Cherry,31031,5492,13.1,40.8,8.6,15.4,12.4,POINT (-101.118490615743 42.5449842734791)
MT,Montana,Custer,30017,11985,10.5,32.6,9.1,14.5,11.6,POINT (-105.571832087219 46.2526825162411)
FL,Florida,Volusia,12127,590357,13.5,32.7,13.9,13.7,,POINT (-81.1822347789539 29.0587848982361)
FL,Florida,Union,12125,15532,14.5,41.6,17.3,20.1,,POINT (-82.3713281378981 30.0440284848394)
AL,Alabama,Russell,1113,58744,17.3,43.0,11.9,18.1,27.4,POINT (-85.1846581812352 32.2882099895674)
MT,Montana,Yellowstone,30111,170843,9.5,34.0,9.0,13.9,11.4,POINT (-108.27428208867 45.9376630248443)
WY,Wyoming,Albany,56001,38257,7.5,27.0,10.3,10.5,,POINT (-105.723439465307 41.6544509650776)
WI,Wisconsin,Ashland,55003,16079,13.9,41.2,8.2,17.3,14.4,POINT (-90.6778902316707 46.316621249561)
LA,Louisiana,Iberia,22045,67659,17.1,42.5,10.4,20.4,26.4,POINT (-91.7316139374781 29.8948870244133)
TX,Texas,Gaines,48165,22523,11.8,36.1,25.6,16.4,,POINT (-102.635322018669 32.7406420313499)
TX,Texas,Medina,48325,54797,14.4,39.5,21.6,12.6,,POINT (-99.1102281200746 29.3554244765575)
TX,Texas,Stonewall,48433,1218,15.8,35.8,17.2,15.0,,POINT (-100.253840082948 33.1790674385685)
NV,Nevada,Lander,32015,5769,13.0,35.1,13.9,17.8,18.9,POINT (-117.038326421494 39.9328933421676)
MI,Michigan,Shiawassee,26155,68025,12.5,38.8,6.8,16.3,13.7,POINT (-84.1467004638598 42.9537097648433)
GA,Georgia,Upson,13293,28263,16.3,39.2,14.1,18.8,21.2,POINT (-84.2995096783688 32.8810119833769)
WV,West Virginia,Grant,54023,10921,16.6,43.2,8.2,19.2,14.6,POINT (-79.1956682823498 39.1051878980045)
ND,North Dakota,Slope,38087,674,14.6,38.3,6.9,15.2,10.6,POINT (-103.460105506428 46.4472025925483)
WY,Wyoming,Platte,56031,8546,13.5,35.8,12.1,15.0,,POINT (-104.965967928793 42.1327154003272)
HI,Hawaii,Kalawao,15005,81,22.1,38.5,10.9,16.6,23.2,POINT (-156.947592784882 21.1733760693813)
AR,Arkansas,Howard,5061,12533,15.2,39.4,12.5,17.1,21.0,POINT (-93.9938053308515 34.0889044688856)
VA,Virginia,Buena Vista,51530,6566,12.9,37.0,10.0,15.8,15.5,POINT (-79.3549104284906 37.7323004933146)
WV,West Virginia,Wetzel,54103,13890,16.7,42.4,8.6,20.6,16.0,POINT (-80.6376146428537 39.6054037396684)
NE,Nebraska,Seward,31159,17671,9.5,34.5,7.4,12.6,9.3,POINT (-97.1395864811579 40.8724057251865)
NY,New York,Oswego,36075,118162,11.2,36.4,6.4,15.7,14.5,POINT (-76.1415333257376 43.4270063116785)
GA,Georgia,Pickens,13227,35969,13.6,35.0,11.3,15.1,12.8,POINT (-84.4653887586926 34.463848952651)
OK,Oklahoma,Noble,40103,10832,13.3,41.6,9.4,16.8,15.3,POINT (-97.2306034414518 36.3884982575705)
LA,Louisiana,St. Martin,22099,51057,15.5,45.3,9.7,19.7,23.6,POINT (-91.608304622551 30.1299027654542)
ND,North Dakota,Burleigh,38015,100012,9.3,35.2,6.3,11.8,8.5,POINT (-100.468920390691 46.9775169860994)
IA,Iowa,Black Hawk,19013,130471,11.6,40.4,7.2,15.6,12.8,POINT (-92.3087248490812 42.4700913420814)
RI,Rhode Island,Providence,44007,660615,11.6,33.4,10.1,12.2,19.0,POINT (-71.5800183935938 41.8721675208136)
IN,Indiana,DeKalb,18033,44198,12.8,43.7,8.1,16.8,12.8,POINT (-84.9990943080308 41.3976231539291)
TN,Tennessee,Davidson,47037,712334,11.2,32.3,11.8,14.0,,POINT (-86.7844516139432 36.1693282530084)
